| Area               | Development                               | Address                                         | Status                       | From Price | Completion | Developer                             | Units | Floors |  PPSF |
| ------------------ | ----------------------------------------- | ----------------------------------------------- | ---------------------------- | ---------- | ---------- | ------------------------------------- | ----: | -----: | ----: |
| Art District       | Casa Bella by B&B Italia                  | 1444 Biscayne Blvd, Miami, FL                   | Pre-Construction             | ~$700K+    | 2027       | Related Group / Alta Developers       |   306 |     56 |   TBD |
| Aventura           | TAL Aventura                              | 17111 Biscayne Blvd, Aventura, FL               | Pre-Construction             | ~$1M+      | 2027       | Rieber Developments                   |    86 |      9 |   TBD |
| Bal Harbour        | Rivage Bal Harbour                        | 10245 Collins Ave, Bal Harbour, FL              | Pre-Construction             | ~$7M+      | 2026       | Related Group / Two Roads Development |    56 |     24 | ~$4K+ |
| Bay Harbor Islands | Alana Bay Harbor Islands                  | 9901 West Bay Harbor Dr, Bay Harbor Islands, FL | Pre-Construction             | ~$1.5M+    | 2025/26    | Lefferts / The Estate Companies       |    30 |      8 |   TBD |
| Bay Harbor Islands | Indian Creek Residences and Yacht Club    | 9455 E Broadview Dr, Bay Harbor Islands, FL     | Pre-Construction             | ~$2M+      | TBD        | TBD                                   |   TBD |    TBD |   TBD |
| Bay Harbor Islands | La Baia Bay Harbor                        | 9201 E Bay Harbor Dr, Bay Harbor Islands, FL    | Completed                    | ~$1M+      | 2024       | Lefferts                              |    68 |      9 |   TBD |
| Bay Harbor Islands | La Maré Residences                        | 10203 E Bay Harbor Dr, Bay Harbor Islands, FL   | Pre-Construction             | ~$1.5M+    | TBD        | Alta Developers                       |    72 |      9 |   TBD |
| Bay Harbor Islands | Onda Residences                           | 1135 103rd St, Bay Harbor Islands, FL           | Completed                    | ~$2M+      | 2023       | Morabito Properties                   |    41 |      8 |   TBD |
| Bay Harbor Islands | Origin Residences                         | 9940 West Bay Harbor Dr, Bay Harbor Islands, FL | Pre-Construction             | TBD        | 2026       | The Related Group                     |    79 |     14 |   TBD |
| Bay Harbor Islands | THE WELL Bay Harbor Islands               | 1100 Kane Concourse, Bay Harbor Islands, FL     | Pre-Construction             | ~$1M+      | 2026       | Terra / THE WELL                      |    54 |     10 |   TBD |
| Boca Raton         | Alina Residences                          | 200 SE Mizner Blvd, Boca Raton, FL              | Completed                    | ~$1.5M+    | 2021       | Compson Associates                    |   121 |     12 |   TBD |
| Boca Raton         | Mandarin Oriental Residences Boca Raton   | 105 E Camino Real, Boca Raton, FL               | Pre-Construction             | ~$3M+      | 2027       | Penn-Florida Companies                |    92 |      5 |   TBD |
| Brickell           | 2200 Brickell                             | 2200 Brickell Ave, Miami, FL                    | Pre-Construction             | ~$1.5M+    | 2026       | Related Group                         |    35 |      7 |   TBD |
| Brickell           | 888 Brickell                              | 888 Brickell Ave, Miami, FL                     | Pre-Construction             | ~$1.5M+    | 2028       | JDS Development                       |   259 |     50 |   TBD |
| Brickell           | Baccarat Residences Miami                 | 99 SE 5th St, Miami, FL                         | Pre-Construction             | ~$1.5M+    | 2026       | SH Hotels & Resorts / Related Group   |   324 |     75 |   TBD |
| Brickell           | Cipriani Residences Miami                 | 40 SW 12th St, Miami, FL                        | Pre-Construction             | ~$1M+      | 2026       | Related Group                         |   397 |     80 |   TBD |
| Brickell           | Domus Brickell Park                       | 1611 SW 2nd Ave, Miami, FL                      | Completed                    | ~$500K+    | 2025       | North Development                     |   171 |     12 |   TBD |
| Brickell           | Lofty Brickell                            | 99 SW 7th St, Miami, FL                         | Pre-Construction             | ~$600K+    | 2025       | Habitat Group                         |   489 |     46 |   TBD |
| Brickell           | ORA By Casa Tua                           | 1210 Brickell Ave, Miami, FL                    | Pre-Construction             | ~$1M+      | 2026       | Casa Tua / Fortune International      |    76 |     20 |   TBD |
| Brickell           | Smart Brickell Tower                      | 239 SW 9th St, Miami, FL                        | Completed                    | ~$500K+    | 2023       | Habitat Group                         |    50 |     25 |   TBD |
| Brickell           | St. Regis Residences Miami                | 1809 Brickell Ave, Miami, FL                    | Pre-Construction             | ~$5M+      | 2027       | Related Group / The St. Regis         |   152 |     46 |   TBD |
| Brickell           | The Residences at 1428 Brickell           | 1428 Brickell Ave, Miami, FL                    | Pre-Construction             | ~$2M+      | 2028       | Yamal Yidios                          |   189 |     70 |   TBD |
| Brickell           | Una Residences                            | 175 SE 25th Rd, Miami, FL                       | Completed                    | ~$1M+      | 2024       | OKO Group                             |   135 |     47 |   TBD |
| Brickell           | Visions at Brickell Station               | 1250 S Miami Ave, Miami, FL                     | Pre-Construction             | ~$700K+    | TBD        | TBD                                   |   TBD |    TBD |   TBD |
| Brickell Key       | One Island Drive                          | 550 Brickell Key Dr, Miami, FL                  | Completed                    | TBD        | 1990s      | TBD                                   |   TBD |    TBD |   TBD |
| Brickell Key       | The Residences at Mandarin Oriental Miami | 5000 Island Blvd, Miami, FL                     | Completed                    | TBD        | 2000       | Swire Properties                      |   228 |     44 |   TBD |
| Coconut Grove      | Mr. C Residences                       | 2655 S Bayshore Dr, Miami, FL                      | Completed        | ~$1.5M+    | 2022       | Urban Network Capital Group / Ignazio Cipriani |   100 |      8 |  TBD |
| Coconut Grove      | Mr. C Tigertail Residences             | 1315 S Tigertail Ave, Miami, FL                    | Pre-Construction | ~$1.5M+    | 2026       | Urban Network Capital Group                    |    60 |      8 |  TBD |
| Coconut Grove      | Residences in the Grove                | 2669 S Bayshore Dr, Miami, FL                      | Pre-Construction | TBD        | TBD        | TBD                                            |   TBD |    TBD |  TBD |
| Coconut Grove      | Urbin Coconut Grove                    | 3140 Commodore Plaza, Miami, FL                    | Pre-Construction | TBD        | 2026       | Urbin / Terra                                  |   TBD |    TBD |  TBD |
| Coconut Grove      | Vita Residences at Grove Isle          | 4 Grove Isle Dr, Miami, FL                         | Pre-Construction | ~$2M+      | 2025/26    | Terra Group                                    |    65 |      9 |  TBD |
| Coral Gables       | 719 Biltmore Way Residences            | 719 Biltmore Way, Coral Gables, FL    | Pre-Construction | TBD        | TBD        | TBD                                            |   TBD |    TBD |  TBD |
| Coral Gables       | The Avenue Coral Gables                | 351 San Lorenzo Ave, Coral Gables, FL | Pre-Construction | ~$1M+      | 2026       | Agave Holdings                                 |    48 |      8 |  TBD |
| Downtown Miami     | 501 FIRST Residences                   | 501 NE 1st Ave, Miami, FL             | Pre-Construction | ~$500K+    | 2028       | Terra Group                                    |   149 |     40 |  TBD |
| Downtown Miami     | 600 Miami Worldcenter                  | 600 NE 1st Ave, Miami, FL             | Pre-Construction | ~$700K+    | 2028       | Naftali Group                                  |   579 |     54 |  TBD |
| Downtown Miami     | Aston Martin Residences                | 300 Biscayne Blvd Way, Miami, FL      | Completed        | ~$1M+      | 2024       | G&G Business Developments                      |   391 |     66 |  TBD |
| Downtown Miami     | District 225                           | 225 NE 1st St, Miami, FL              | Completed        | ~$500K+    | 2024       | Related Group                                  |   343 |     37 |  TBD |
| Downtown Miami     | E11EVEN Hotel & Residences             | 29 NE 11th St, Miami, FL              | Completed        | ~$700K+    | 2022       | PMG                                            |   450 |     65 |  TBD |
| Downtown Miami     | E11EVEN Residences Beyond              | 1016 NE 2nd Ave, Miami, FL            | Pre-Construction | ~$700K+    | 2026       | PMG                                            |   461 |     65 |  TBD |
| Downtown Miami     | Legacy Residences at Miami Worldcenter | 698 NE 1st Ave, Miami, FL             | Pre-Construction | ~$600K+    | 2026       | Royal Palm Companies                           |   310 |     55 |  TBD |
| Downtown Miami     | Natiivo Miami                          | 601 NE 1st Ave, Miami, FL             | Completed        | ~$500K+    | 2023       | Airbnb / Newgard                               |   448 |     51 |  TBD |
| Downtown Miami     | Okan Tower                             | 555 N Miami Ave, Miami, FL            | Pre-Construction | ~$700K+    | 2027       | Okan Group                                     |   236 |     70 |  TBD |
| Downtown Miami     | The Crosby Miami Worldcenter           | 601 NE 1st Ave, Miami, FL             | Pre-Construction | ~$500K+    | 2027       | Related Group                                  |   450 |     34 |  TBD |
| Downtown Miami     | Waldorf Astoria Residences Miami       | 300 Biscayne Blvd, Miami, FL          | Pre-Construction | ~$1.5M+    | 2028       | PMG / Hilton                                   |   360 |    100 |  TBD |
| Downtown Miami     | West Eleventh Residences Miami         | 175 NW 11th St, Miami, FL             | Pre-Construction | ~$400K+    | 2028       | Property Markets Group                         |   659 |     44 |  TBD |
| Edgewater          | Aria Reserve Miami                             | 710 NE 24th St, Miami, FL                             | Pre-Construction | ~$1M+      | 2025/26    | Melo Group                       |   792 |     62 |  TBD |
| Edgewater          | Cove Miami                                     | 520 NE 34th St, Miami, FL                             | Pre-Construction | ~$700K+    | 2026       | Two Roads Development            |   116 |     40 |  TBD |
| Edgewater          | Edition Residences Edgewater                   | 1850 NE 24th St, Miami, FL                            | Pre-Construction | ~$3M+      | 2026       | Terra Group / Marriott Edition   |   185 |     55 |  TBD |
| Edgewater          | The Villa                                      | 2100 Biscayne Blvd, Miami, FL                         | Pre-Construction | TBD        | TBD        | TBD                              |   TBD |    TBD |  TBD |
| Edgewater          | Vida Residences Edgewater                      | 460 NE 28th St, Miami, FL                             | Pre-Construction | ~$700K+    | TBD        | Urbana Development               |    61 |     12 |  TBD |
| Fisher Island      | Six Fisher Island                              | 6 Fisher Island Dr, Fisher Island, FL                 | Pre-Construction | ~$10M+     | 2026       | CMC Group                        |    50 |     10 |  TBD |
| Fisher Island      | The Links Estates at Fisher Island             | Fisher Island, FL                                     | Completed        | ~$5M+      | Existing   | Fisher Island Development        |   TBD |    TBD |  TBD |
| Fort Lauderdale    | 160 Marina Bay                                 | 160 Isle of Venice Dr, Fort Lauderdale, FL            | Pre-Construction | TBD        | TBD        | TBD                              |   TBD |    TBD |  TBD |
| Fort Lauderdale    | 3000 Waterside                                 | 3000 E Las Olas Blvd, Fort Lauderdale, FL             | Pre-Construction | ~$1M+      | 2026       | Related Group                    |   TBD |    TBD |  TBD |
| Fort Lauderdale    | Edition Residences Fort Lauderdale             | 551 N Fort Lauderdale Beach Blvd, Fort Lauderdale, FL | Pre-Construction | ~$3M+      | 2027       | Fort Partners / Marriott Edition |    92 |     11 |  TBD |
| Fort Lauderdale    | Ocean Harbor                                   | 3200 N Ocean Blvd, Fort Lauderdale, FL                | Pre-Construction | TBD        | TBD        | TBD                              |   TBD |    TBD |  TBD |
